題號,question,answer,Model Answer (UnieAI提供),"回答是否準確
(用戶評估)",備註,回應,,,,
範例,UnieAI 的目標是甚麼?,UnieAI 專注於推動各行各業發展的創新人工智慧服務。,,Y/N,,,,,,
1,申請iSunny 數位存款帳戶需要具備什麼資格？有任何限制嗎？,"年滿18歲以上之本國國籍自然人，並符合以下條件：
1. 無外國稅籍身分
2. 未受監護或輔助宣告
3. 未受告誡處分
※具外國稅籍身分者或受監護或輔助宣告身分者，需至本行各分行臨櫃辦理。",,,,,,,,
2,申請iSunny 數位存款帳戶需要準備什麼文件？,請準備本國「身分證」與「第二身分證明文件」(駕照、健保卡、護照)。,,,,,,,,
3,我可以開立幾個iSunny 數位存款帳戶？,同一個身分證字號只能申請一個iSunny 台/外幣數位存款帳戶喔！,,,,,,,,
4,我已經有陽信銀行存款帳戶了，還可以申請iSunny 數位存款帳戶嗎？,可以！歡迎申請iSunny 數位存款帳戶。,,,,,,,,
5,如何進行開戶「身分驗證」作業？需要準備什麼工具呢？,"請使用以下任一種方式進行開戶身分驗證：
1. 自然人憑證＋晶片讀卡機
2. 本行本人金融卡＋晶片讀卡機
3. 本人他行金融帳號 ",,,,,,,,
6,未收到電子郵件認證信如何處理？,部分電子郵件服務（如Yahoo或Hotmail等），會有自動檔信或誤判廣告信的情形，若您遲遲無法收到認證信，請檢查信件是否被歸為垃圾信件，若仍未收到電子郵件，可點選重新發送認證信（100秒內不可點擊）。,,,,,,,,
7,簡訊驗證碼錯誤如何處理？,"1. 簡訊驗證碼的有效時間為120秒，請於時間內輸入唷!
2. 可於裝置驗證頁面重新發送驗證碼，一日最多重新發送驗證碼三次。
※接收簡訊驗證碼前，請先確認手機號碼正確，並確保手機維持於收訊良好可接收簡訊之狀態。",,,,,,,,
8,如何上傳雙證件？,"1. 使用電腦申請，可選擇已儲存在電腦裡的雙證件影像檔上傳，或使用手機掃描電腦畫面之QR Code，進入您的專屬網址後，使用手機拍照或選用手機相簿上傳。
2. 使用手機申請，可直接使用手機拍照或選用手機相簿上傳。",,,,,,,,
9,初始密碼、授權密碼、使用者代號是什麼？忘記密碼如何處理？,"1. 初始密碼是您在申請過程中自行設定的密碼(6-20位英數混合)，用於「首次」登入網路銀行。
2. 授權密碼、使用者代號在您首次登入網路銀行後，系統會要求您設定，此為之後登入網路銀行的帳號及密碼。
3. 若您忘記初始密碼、授權密碼或使用者代號，請參考以下兩種解決方式：
(1)攜帶雙證件及印章至原開戶分行辦理重新設定。
(2)使用本行臨櫃開立帳號之金融卡於【官網>數位金融>數位存款帳戶>帳戶功能設定>重設網銀使用者代號/授權密碼】進行重新設定。",,,,,,,,
